file,categories,category,caption,footer,footer_en
7326.webp,arquitectura|ciudad|noche|paisaje urbano,arquitectura,"Vista nocturna de una calle con una escalinata que asciende entre casas y vegetación. Faroles de luz amarilla iluminan el camino y las fachadas de las construcciones, creando un ambiente cálido y tranquilo. La escena muestra un área urbana con edificios antiguos y cables eléctricos a la vista, rodeada de abundante follaje verde.",Escalinata iluminada en una noche tranquila en la ciudad.,Stairway lit up on a quiet night in the city.
7347.webp,arquitectura|arte urbano|graffiti|ciudad,arquitectura,"Imagen de una casa donde las paredes exteriores están pintadas con murales y graffiti que representan rostros y figuras estilizadas en colores vivos como morado, azul y verde. La fachada está parcialmente cubierta por rejas blancas y alambres de púas, y el cielo está despejado. Se aprecian sombras generadas por la luz del sol y un ambiente urbano.",Casa con murales y grafitis coloridos en la fachada en un día soleado.,House with colorful murals and graffiti on the facade on a sunny day.
7356.webp,animal|urban|arquitectura|gato|tejados,animal,"La imagen muestra un gato de pelaje manchado caminando sobre un techo de láminas metálicas en un área urbana. Se observa que las casas están construidas con materiales mixtos, incluyendo paredes de adobe o cemento y techos de metal oxidado y pintado de rojo. Hay estructuras improvisadas y plantas creciendo en primer plano.",Un gato caminando por el techo en un barrio con casas de construcción sencilla.,A cat walking on a rooftop in a neighborhood with simple construction houses.
7361.webp,arquitectura|callejón|arte urbano|ciudad,arquitectura,Vista de un callejón urbano con muros decorados con grafitis y murales a ambos lados. La calle empedrada está en ligera pendiente y se observa una persona al fondo junto a una casa amarilla con ventanas azules. Hay postes y cables eléctricos visibles sobre la calle bajo un cielo despejado.,Callejón con murales y casas coloridas en un día soleado.,Alley with murals and colorful houses on a sunny day.
7411.webp,ciudad|arquitectura|calle|arte urbano|animales|cartel|escaleras,ciudad,"Una escalera urbana pintada con diferentes colores y grafitis, ubicada entre edificios antiguos con muros también decorados con arte callejero. Al frente, un perro color marrón claro camina por el empedrado. En la parte derecha hay un poste con un cartel que invita a respetar el trabajo de quienes limpian el barrio, indicando horarios para sacar la basura. La imagen muestra una escena cotidiana en un barrio con presencia de arte urbano y vida animal.","Escaleras pintadas con grafitis en un barrio con un cartel que pide cuidar la basura, y un perro en primer plano.","Colorful painted stairs in a neighborhood with a sign asking to take care of the trash, and a dog in the foreground."
7413.webp,ciudad|arquitectura|arte urbano|paisaje urbano,ciudad,"Imagen de una calle empedrada en Valparaíso con edificios antiguos donde destacan murales artísticos y grafitis en sus muros. En una de las fachadas hay una pintura de estilo cómic con un hombre y una mujer, además de un bocadillo de texto. También se observa una bandera chilena colgada en una ventana y un cartel de señalización vial prohibiendo girar. La escena está iluminada por luz natural y tiene árboles al fondo.",Calle en Valparaíso con murales y grafitis en las paredes.,Street in Valparaíso with murals and graffiti on the walls.
7423.webp,ciudad|arquitectura|callejón|arte urbano|animales,ciudad,"Escalera urbana pintada con colores brillantes y variados en un callejón estrecho. A los lados se observan paredes con grafitis y murales artísticos. Arriba, se pueden ver cables eléctricos colgando y barandas metálicas a lo largo de las escaleras. En el centro de las escaleras, un gato se encuentra sentado descansando. El entorno muestra un espacio típico de una zona urbana con fuerte influencia cultural y artística.",Escalera colorida en un barrio con grafitis y un gato descansando.,Colorful staircase in a neighborhood with graffiti and a cat resting.
7429.webp,ciudad|personas|calle,ciudad,"La imagen muestra a una pareja mayor caminando de espaldas por una acera en una calle urbana. A su alrededor hay edificios de varios pisos y algunos cables eléctricos visibles. La calle está relativamente tranquila, con pocas personas y algunos vehículos al fondo. La mujer lleva un bolso con diseño de hojas verdes mientras ambos están vestidos con ropa casual.",Pareja mayor caminando por una calle de la ciudad.,Elderly couple walking down a city street.
7437.webp,ciudad|arquitectura|personas,ciudad,"La imagen muestra a un hombre parado en una acera frente a un edificio del Banco de Chile, con números 698 visibles en la fachada. El hombre sostiene una cámara para tomar fotografías. Al fondo se observa otro edificio antiguo de estilo arquitectónico europeo, un poste con cables eléctricos y una bandera ondeando, posiblemente chilena. También se puede ver a un perro caminando por la calle y algunas personas y autos a lo lejos. La escena parece ser una mañana soleada en una zona urbana.",Un hombre toma fotos frente al Banco de Chile en una calle de la ciudad.,A man takes photos in front of Banco de Chile on a city street.
7439.webp,transporte|ciudad|arquitectura,transporte,"La imagen muestra un trolebús número 279, línea 802 con destino Colón, detenido frente a un edificio de arquitectura clásica en una calle urbana. Se observan detalles como las barras de conexión eléctrica del trolebús, una persona apoyada en una ventana y banderas chilenas visibles en la parte superior del vehículo. La escena está iluminada con luz natural que destaca los colores verde y beige del trolebús y las paredes del edificio.",Trolebús 802 en la calle transitada de la ciudad con fachadas antiguas y bandera chilena.,Trolleybus 802 on a busy city street with old facades and Chilean flag.
7465.webp,ciudad|arquitectura|personas|transporte,ciudad,"Imagen de una calle urbana con edificios altos y antiguos, algunos con fachadas de estilo clásico y otros con arquitectura más moderna. Se observa tráfico moderado con un bus, un taxi y un camión circulando. Al frente, una persona cruza la calle mientras el semáforo peatonal está en verde. La escena está iluminada por luz solar directa bajo un cielo despejado.","Calle de ciudad con edificios antiguos y tránsito vehicular, con peatón cruzando.","City street with old buildings and vehicular traffic, with a pedestrian crossing."
7469.webp,objetos antiguos|tecnología vintage|colección|herramientas|antigüedades,objetos antiguos,"La imagen muestra una máquina de escribir antigua marca Underwood rodeada de objetos y herramientas oxidadas sobre una superficie oscura. También se observan otros artículos antiguos como una botella tejida, recipientes de porcelana y utensilios metálicos que parecen ser de colección o exposición.",Máquina de escribir antigua y herramientas oxidadas en exhibición.,Old typewriter and rusty tools on display.
7481.webp,arquitectura|edificio|ciudad,arquitectura,Imagen de un edificio alto de estructura rectangular y fachadas lisas en color claro. El edificio tiene varias ventanas alineadas en filas verticales. En primer plano se observa un poste de alumbrado púbico negro. El cielo de fondo es completamente despejado y de un tono azul intenso.,Edificio alto de diseño simple con cielo despejado al fondo.,Tall building with simple design against a clear sky.
7488.webp,personas|arquitectura|ciudad,personas,"La imagen muestra la salida de un pasillo o corredor techado hacia un muelle peatonal al aire libre. Se observa un señalamiento que indica uso obligatorio del pasillo peatonal. Varias personas están de pie, algunas fotografiando y otras caminando. En el fondo se ven estructuras propias de un puerto y montañas a lo lejos bajo un cielo despejado.",Personas caminando y fotografiando en un muelle con señalización para uso peatonal.,People walking and taking pictures at a dock with pedestrian signage.
7502.webp,arquitectura|ciudad,arquitectura,"La imagen muestra la entrada principal de un edificio antiguo con una puerta de madera enmarcada por un arco, flanqueada por ventanas con rejas metálicas. Hay tres escalones que conducen a la puerta y una acera frente al edificio, con una curb yellow visible en primer plano. El muro es de color claro y presenta algunas manchas y señales de desgaste. También se observan cables eléctricos colgados en la parte superior.",Entrada con puerta de madera y rejas en edificio antiguo.,Entrance with wooden door and bars in an old building.
7568.webp,transporte|trenes|infraestructura|ciudad,transporte,"Imagen de un tren azul y blanco de la Empresa de los Ferrocarriles del Estado (EFE) de Chile, en movimiento sobre las vías. El tren está en un entorno urbano con vegetación, postes y señales visibles. El cielo está despejado y la imagen muestra un efecto de velocidad.",Tren de la Empresa de los Ferrocarriles del Estado circulando en zona urbana.,Train from the State Railways Company running in an urban area.
7573.webp,arquitectura|ciudad|paisaje,arquitectura,"Vista en ángulo bajo de un edificio de varios pisos pintado en tonos azules y turquesas. El edificio presenta múltiples ventanas rectangulares, algunas con acondicionadores de aire instalados. En el cielo despejado de fondo, se observan dos gaviotas volando. También se distingue una palmera en la esquina inferior izquierda.",Edificio azul en una ciudad con dos gaviotas volando y cielo despejado.,Blue building in a city with two seagulls flying and a clear sky.
7590.webp,arquitectura|ciudad,arquitectura,"La imagen muestra un edificio de departamentos con múltiples balcones y ventanas. El edificio es de color beige claro y tiene barandas metálicas en los balcones. El cielo está despejado y tiene un color azul intenso, sin nubes visibles.",Fachada de un edificio de departamentos bajo un cielo despejado.,Facade of an apartment building under a clear sky.
7598.webp,museo|arqueología|paleontología|esqueleto|animal marino,museo,"Imagen de un esqueleto de ballena suspendido del techo en un museo. Se observan claramente las costillas, la columna vertebral y el cráneo característico del cetáceo. La iluminación resalta las formas óseas proyectando sombras sobre la pared posterior.",Esqueleto de ballena colgado en exhibición en un museo.,Whale skeleton hanging on display in a museum.
7608.webp,museo|ciencia|biología|exhibición|especies marinas,museo,"Imagen de dos frascos de laboratorio con especímenes marinos conservados en líquido transparente, ubicados en un espacio oscuro con iluminación focalizada sobre ellos. En el fondo se observa una rama con frutos o nódulos, posiblemente parte de otra exhibición relacionada. Los especímenes están preservados para estudios científicos o exposición educativa.",Muestras de especímenes marinos conservados en frascos en una exhibición.,Samples of marine specimens preserved in jars in an exhibition.
7624.webp,arquitectura|religión|paisaje urbano,arquitectura,"Imagen de una torre de iglesia construida con un diseño arquitectónico clásico. La torre tiene una cruz en su parte superior y campanas visibles en el campanario. A los lados de la torre se observan árboles frondosos y una palmera, todo bajo un cielo azul despejado.",torre de iglesia rodeada de árboles verdes bajo un cielo despejado,church tower surrounded by green trees under a clear sky
7649.webp,arquitectura|edificio|ciudad,arquitectura,"Imagen de un edificio residencial alto con varios balcones y ventanas de vidrio, capturado desde un ángulo inferior que destaca su estructura moderna y líneas rectas. El cielo está completamente despejado y azul intenso, lo que resalta el contraste con el color claro de la fachada del edificio.",Edificio residencial alto bajo un cielo despejado.,High residential building under a clear sky.
7653.webp,paisaje|animales|arquitectura|mar,paisaje,"Imagen de un muelle de concreto antiguo que se extiende hacia el mar. En el muelle descansan varios lobos marinos. Al fondo se observan dos embarcaciones pequeñas flotando en el agua. En primer plano, rocas rodean la base del muelle y el agua es tranquila bajo un cielo despejado.",Viejo muelle con lobos marinos descansando en el borde del mar.,Old pier with sea lions resting by the edge of the sea.
7661.webp,paisaje|arquitectura|mar|animales,paisaje,"La imagen muestra una estructura de concreto deteriorada en el mar, con varias columnas y una plataforma sobre el agua. Encima de la estructura se pueden ver lobos marinos descansando, junto con algunas gaviotas posadas. En el primer plano hay rocas y al fondo se observa parte de un puerto con contenedores y grúas, además de un barco con la inscripción Hapag-Lloyd. El cielo está despejado y el agua es tranquila.",Estructura antigua en el mar con lobos marinos y gaviotas.,Old structure in the sea with sea lions and seagulls.
7693.webp,naturaleza|aves|arquitectura,naturaleza,"La imagen muestra dos gaviotas, una volando y otra posada en el borde de un edificio deteriorado. El fondo es un cielo despejado de un azul intenso, en el cual se puede distinguir una media luna en fase creciente.",Gaviotas sobre un edificio con cielo azul y media luna visible.,Seagulls above a building with blue sky and a crescent moon visible.
7704.webp,arquitectura|arte urbano|grafiti,arquitectura,"La imagen muestra un edificio antiguo con numerosas ventanas alargadas y sin vidrio, con una pared lateral decorada con varios murales de grafiti. Los murales presentan distintas imágenes, incluyendo rostros humanos, elementos abstractos y colores vibrantes. Al frente hay un camino de tierra con vegetación baja alrededor, y el cielo se muestra despejado y azul.",Murales coloridos en la pared de un edificio viejo bajo un cielo despejado.,Colorful murals on the wall of an old building under a clear sky.
7706.webp,ciudad|arquitectura|arte urbano,ciudad,"Imagen de un cañón decorado con múltiples graffitis y pintura colorida, situado en un espacio abierto y pavimentado. Al fondo, un cartel grande con grafiti en blanco y negro que dice ""MOXY"" está colocado sobre estructuras de metal. También se observan árboles, edificios de departamentos y una señalización para ciclistas en el piso.",Cañón con graffiti y cartel con arte urbano en espacio público.,Cannon with graffiti and urban art sign in public space.
7715.webp,urban|arquitectura|personas|arte urbano|industrial,urban,"La imagen muestra a una persona de espaldas, vestida con ropa oscura y llevando una mochila, mientras toma una fotografía de una estructura metálica oxidada en un espacio abierto. El lugar parece ser una zona industrial abandonada o en desuso, con pilares de hormigón cubiertos de graffiti. Al fondo se observan muros con múltiples grafitis y colinas con vegetación bajo un cielo azul despejado.",Persona fotografiando una estructura metálica en un sitio urbano con graffiti.,Person taking a photo of a metal structure in an urban area with graffiti.
7718.webp,arquitectura|urbano|grafiti|espacio abandonado,arquitectura,"Espacio interior de una construcción abandonada, probablemente una antigua planta o almacén, con columnas de concreto cubiertas de grafitis y pintura. La luz natural entra por aberturas en la estructura, iluminando parcialmente el suelo terroso. En el fondo se pueden ver más grafitis y una ventana que muestra una vista urbana exterior.",Interior oscuro de una estructura abandonada con grafitis en las paredes.,Dark interior of an abandoned structure with graffiti on the walls.
7727.webp,personas|arte urbano|graffiti|espacio urbano,personas,"Un hombre con gorra beige, chaqueta deportiva y mochila negra está de pie en un espacio urbano oscuro. Detrás de él se pueden ver múltiples grafitis de colores en la pared, entre ellos un dibujo con un pingüino y la palabra 'Valparaiso'. La luz ilumina parcialmente al hombre y crea un círculo iluminado en el suelo a sus pies, acentuando su figura en el entorno sombrío.",Hombre observando un graffiti en un espacio urbano oscuro.,Man looking at graffiti in a dark urban space.
7739.webp,transporte|urbano|ferrocarril|grafiti|arquitectura,transporte,"Imagen de un tren viejo y oxidado estacionado detrás de una reja metálica, cubierto con múltiples grafitis en sus laterales. El tren parece fuera de servicio y está ubicado en un área urbana con edificios residenciales modernos y vegetación en el fondo. El cielo está despejado y el ambiente sugiere un día soleado.",Tren abandonado con grafitis en un entorno urbano.,Abandoned train with graffiti in an urban setting.
7783.webp,escultura|arte|jardín|personas,escultura,"La imagen muestra una escultura situada en el centro de lo que parece una fuente o pedestal en un espacio al aire libre, probablemente un parque o jardín. La escultura representa a una mujer sosteniendo a un niño en sus brazos. Está rodeada de árboles y el cielo claro en segundo plano. La foto está en blanco y negro, resaltando las texturas y detalles de la figura y el entorno.",Escultura de una mujer con un niño en sus brazos en un parque.,Sculpture of a woman holding a child in her arms in a park.
7785.webp,escultura|jardín|arte|naturaleza,escultura,"Escultura de una figura femenina con vestido largo y sombrero apoyada en una estructura que parece una fuente o lavadero, ubicada en medio de un jardín con césped y árboles al fondo. La imagen en blanco y negro destaca el contraste entre la textura de la escultura y el entorno natural.",Escultura de una mujer junto a una fuente en un jardín.,Sculpture of a woman by a fountain in a garden.
7793.webp,arquitectura|personas|paisaje,arquitectura,"Imagen de un pasillo arquitectónico con arcos que termina en una abertura desde donde se observa el mar y un árbol. Al fondo, se ven dos personas de espaldas, una vestida de negro y otra de blanco, que parecen estar conversando o disfrutando de la vista.",Pasillo con arco que da a una vista al mar con dos personas al fondo.,Arched corridor leading to a sea view with two people in the background.
7799.webp,arquitectura|personas|paisaje,arquitectura,"Imagen de un pasillo con columnas de piedra que separan un espacio oscuro interior de un jardín iluminado al aire libre. En la parte oscura, una persona con gorra sostiene una cámara, aparentemente enfocando o capturando una fotografía. El jardín exterior presenta césped verde, plantas decorativas y parte de un edificio antiguo con ventanas y arcos visibles.",Pasillo con columnas en un edificio histórico y un hombre tomando fotos.,Hallway with columns in a historic building and a man taking photos.
7803.webp,arquitectura|exteriores|piscina|paisaje urbano,arquitectura,"Vista de una piscina al aire libre rodeada por un edificio de dos pisos con ventanas grandes y arcos. La estructura presenta un diseño arquitectónico clásico, con una pared cubierta parcialmente por enredaderas verdes. El cielo está despejado y azul, y hay un ave volando cerca de la piscina, mientras que una persona aparece al fondo caminando por el complejo.",Piscina al aire libre en un edificio con arquitectura clásica bajo un cielo despejado.,Outdoor swimming pool in a building with classic architecture under a clear sky.
7808.webp,escultura|naturaleza|jardín,escultura,"Escultura de un niño desnudo con pantalones cortos, sosteniendo un palo con ambas manos, ubicada en un jardín rodeado de abundante vegetación y flores blancas bajo un cielo azul claro.",Estatua de un niño en un jardín lleno de flores y plantas.,Statue of a boy in a garden full of flowers and plants.
7818.webp,escultura|historia|arte|jardín,escultura,"Fotografía en blanco y negro de un busto clásico de mármol ubicado en un jardín. La escultura representa a un hombre con barba y cabello rizado, vestido con un manto y una armadura típica de época romana. La base del busto es una columna decorada y al fondo se distinguen árboles y vegetación, creando un contraste entre la figura escultórica y el entorno natural.","Busto clásico de mármol en un jardín, pleno sol y sombras.","Classical marble bust in a garden, full sunlight and shadows."
7825.webp,paisaje|naturaleza|cielo nocturno|astronomía,paisaje,"Imagen que muestra un cielo nocturno completamente oscuro salpicado con numerosas estrellas blancas brillantes distribuidas de forma dispersa sobre el fondo negro, sin presencia de nubes ni otros elementos visibles.",Un cielo estrellado en una noche despejada.,A starry sky on a clear night.
7834.webp,paisaje|arquitectura|noche|vehículos,paisaje,"La imagen muestra un camino de tierra que conduce a una entrada metálica en un área rural. A la derecha, se observa un automóvil estacionado parcialmente visible. Al fondo, hay vegetación densa y varios postes eléctricos iluminados por una luz amarilla cálida provenientes de una farola. La escena está tomada durante la noche bajo un cielo oscuro.",Entrada rústica iluminada por la luz de la calle en un entorno rural durante la noche.,Rustic entrance lit by streetlight in a rural setting at night.
7840.webp,animales|granjas|aves,animales,"La imagen muestra varias gallinas en un corral, algunas con plumaje de color marrón y una gallina blanca en el centro. El entorno es un área de tierra con algo de vegetación dispersa. Las gallinas parecen estar tranquilas y están reunidas en un espacio cercado.",Gallinas de diferentes colores reunidas en un corral.,Chickens of different colors gathered in a pen.
7852.webp,animales|mascotas|perros,animales,"Imagen de un perro pequeño de pelaje blanco con manchas negras y marrones, posado sobre un suelo de tierra. El perro tiene las orejas levantadas y está mirando directamente hacia la cámara con la cabeza ligeramente inclinada. La sombra de una persona es visible en la parte inferior derecha de la imagen.",Perro pequeño mirando hacia arriba en un suelo de tierra.,Small dog looking up on a dirt ground.
8216.webp,arquitectura|religión|edificación histórica,arquitectura,"Imagen que muestra la fachada de una capilla con paredes decoradas con mosaicos de colores y una puerta doble metálica de tono oscuro. A la izquierda, se observa una torre con una ventana en forma de arco y rematada por una cruz decorativa de metal. El cielo despejado y azul sirve de fondo junto a una palmera visible detrás de la torre.",Fachada colorida de una capilla con un cielo azul despejado.,Colorful chapel facade with a clear blue sky.
8217.webp,arquitectura|puerta|detalle decorativo|fachada,arquitectura,"Puerta doble de metal pintada de color oscuro con elaborados detalles de hierro forjado con diseños ornamentales. Las columnas a ambos lados de la puerta están decoradas con azulejos de forma geométrica en tonos azul y blanco. La base de las columnas muestra signos de desgaste y suciedad, frente a un suelo de adoquines y tierra.",Puerta antigua con detalles de hierro forjado y azulejos en las columnas.,Old door with wrought iron details and tiles on the columns.
8229.webp,naturaleza|basura|agua|medio ambiente,naturaleza,"La imagen muestra un charco o cuerpo de agua pequeño con una superficie cubierta por vegetación acuática verde y dispersas pequeñas flores de color claro. En el centro se observa una botella de vidrio verde con etiqueta blanca medio sumergida, evidenciando contaminación en un ambiente natural. Alrededor hay ramas secas y hojas, indicando un entorno silvestre o poco cuidado.",Botella de vidrio abandonada en un charco cubierto de vegetación y flores pequeñas.,Glass bottle abandoned in a pond covered with vegetation and small flowers.
8235.webp,paisaje|naturaleza|vehículo abandonado,paisaje,"el frente de un automóvil viejo y oxidado parcialmente sumergido en un estanque rodeado de vegetación densa y verde. el agua del estanque está cubierta en partes por plantas acuáticas, y el vehículo muestra signos evidentes de abandono y deterioro, con óxido y musgo acumulados en su superficie. el entorno natural parece recuperarse alrededor del objeto metálico.",auto abandonado y oxidado en un estanque cubierto de vegetación,abandoned and rusted car in a pond covered with vegetation
8278.webp,animales|granja|aves|crianza,animales,"Imagen de una gallina junto a varios pollitos dentro de un corral protegido por una malla metálica. La gallina es de color gris con plumas oscuras y los pollitos son mayormente amarillos con algunos tonos marrones. El fondo es de tierra, y la luz natural ilumina a las aves a través de la malla.",Gallina con sus pollitos protegidos tras una malla.,Hen with her chicks protected behind a mesh.
